UserID,Age,Gender,VRHeadset,Duration,MotionSickness,ImmersionLevel,Riesgo_Mareo
1,40,Male,Htc Vive,13.6,8,5,Alto Riesgo
2,43,Female,Htc Vive,19.95,2,2,Bajo Riesgo
3,27,Male,Playstation Vr,16.54,4,2,Bajo Riesgo
4,33,Male,Htc Vive,42.57,6,3,Alto Riesgo
5,51,Male,Playstation Vr,22.45,4,2,Bajo Riesgo
6,46,Other,Oculus Rift,28.28,7,4,Alto Riesgo
7,49,Other,Oculus Rift,52.3,7,3,Alto Riesgo
8,42,Other,Oculus Rift,22.96,8,2,Alto Riesgo
9,56,Female,Playstation Vr,16.86,5,1,Bajo Riesgo
10,60,Male,Oculus Rift,34.47,5,4,Bajo Riesgo
11,37,Male,Oculus Rift,43.37,2,1,Bajo Riesgo
12,23,Other,Playstation Vr,25.11,8,4,Alto Riesgo
13,45,Male,Playstation Vr,58.14,5,3,Bajo Riesgo
14,28,Female,Playstation Vr,25.98,5,5,Bajo Riesgo
15,23,Male,Htc Vive,57.15,7,4,Alto Riesgo
16,34,Female,Oculus Rift,44.7,1,3,Bajo Riesgo
17,48,Male,Playstation Vr,22.86,10,5,Alto Riesgo
18,54,Male,Playstation Vr,36.81,4,2,Bajo Riesgo
19,35,Other,Oculus Rift,48.29,10,1,Alto Riesgo
20,27,Other,Oculus Rift,15.8,7,2,Alto Riesgo
21,25,Other,Oculus Rift,36.5,10,1,Alto Riesgo
22,57,Male,Oculus Rift,23.58,4,3,Bajo Riesgo
23,38,Female,Oculus Rift,35.35,4,5,Bajo Riesgo
24,60,Female,Oculus Rift,44.65,10,5,Alto Riesgo
25,41,Other,Playstation Vr,5.28,5,5,Bajo Riesgo
26,28,Female,Playstation Vr,26.69,9,1,Alto Riesgo
27,60,Other,Oculus Rift,15.26,3,3,Bajo Riesgo
28,24,Male,Htc Vive,34.09,7,3,Alto Riesgo
29,30,Other,Htc Vive,57.41,4,4,Bajo Riesgo
30,59,Female,Oculus Rift,11.52,6,3,Alto Riesgo
31,31,Male,Oculus Rift,32.52,7,1,Alto Riesgo
32,25,Other,Htc Vive,21.0,6,3,Alto Riesgo
33,39,Female,Playstation Vr,18.35,1,5,Bajo Riesgo
34,49,Male,Playstation Vr,28.81,10,1,Alto Riesgo
35,23,Other,Playstation Vr,20.1,3,1,Bajo Riesgo
36,53,Female,Oculus Rift,45.5,10,5,Alto Riesgo
37,54,Other,Oculus Rift,37.73,5,3,Bajo Riesgo
38,41,Male,Oculus Rift,52.72,3,4,Bajo Riesgo
39,43,Female,Playstation Vr,6.12,10,3,Alto Riesgo
40,45,Other,Playstation Vr,39.83,9,2,Alto Riesgo
41,30,Female,Playstation Vr,10.31,9,4,Alto Riesgo
42,33,Male,Htc Vive,40.55,5,1,Bajo Riesgo
43,53,Female,Htc Vive,6.42,3,2,Bajo Riesgo
44,19,Other,Playstation Vr,14.9,10,1,Alto Riesgo
45,51,Female,Playstation Vr,58.53,10,5,Alto Riesgo
46,41,Other,Playstation Vr,19.3,6,4,Alto Riesgo
47,39,Female,Htc Vive,21.04,2,4,Bajo Riesgo
48,29,Female,Playstation Vr,14.87,6,4,Alto Riesgo
49,37,Female,Oculus Rift,46.2,8,5,Alto Riesgo
50,36,Female,Oculus Rift,13.86,5,1,Bajo Riesgo
51,49,Female,Oculus Rift,16.85,2,4,Bajo Riesgo
52,34,Other,Oculus Rift,41.02,7,3,Alto Riesgo
53,46,Other,Playstation Vr,48.89,6,2,Alto Riesgo
54,54,Male,Htc Vive,53.92,5,2,Bajo Riesgo
55,38,Female,Oculus Rift,18.43,7,1,Alto Riesgo
56,45,Male,Htc Vive,49.64,6,2,Alto Riesgo
57,58,Other,Playstation Vr,43.97,5,2,Bajo Riesgo
58,38,Female,Oculus Rift,51.38,3,2,Bajo Riesgo
59,46,Other,Htc Vive,57.21,9,1,Alto Riesgo
60,36,Other,Htc Vive,23.9,7,1,Alto Riesgo
61,50,Other,Oculus Rift,14.67,8,4,Alto Riesgo
62,44,Other,Oculus Rift,51.69,4,1,Bajo Riesgo
63,56,Male,Playstation Vr,50.04,6,3,Alto Riesgo
64,47,Male,Htc Vive,50.53,2,5,Bajo Riesgo
65,43,Male,Playstation Vr,17.27,10,2,Alto Riesgo
66,54,Male,Htc Vive,42.76,7,2,Alto Riesgo
67,29,Female,Playstation Vr,13.47,8,5,Alto Riesgo
68,57,Male,Playstation Vr,5.54,6,5,Alto Riesgo
69,23,Male,Htc Vive,48.57,6,4,Alto Riesgo
70,43,Male,Htc Vive,39.57,9,3,Alto Riesgo
71,55,Other,Playstation Vr,25.27,1,1,Bajo Riesgo
72,49,Female,Htc Vive,8.11,4,2,Bajo Riesgo
73,60,Other,Playstation Vr,48.86,5,5,Bajo Riesgo
74,35,Female,Htc Vive,50.73,7,2,Alto Riesgo
75,19,Male,Playstation Vr,41.27,10,3,Alto Riesgo
76,42,Female,Playstation Vr,44.97,6,4,Alto Riesgo
77,47,Male,Playstation Vr,27.19,7,4,Alto Riesgo
78,44,Female,Oculus Rift,53.99,7,1,Alto Riesgo
79,36,Female,Playstation Vr,32.98,5,2,Bajo Riesgo
80,28,Female,Playstation Vr,51.64,9,5,Alto Riesgo
81,27,Male,Htc Vive,42.17,1,4,Bajo Riesgo
82,35,Other,Playstation Vr,44.11,5,3,Bajo Riesgo
83,26,Female,Playstation Vr,28.81,2,1,Bajo Riesgo
84,37,Female,Playstation Vr,57.98,8,3,Alto Riesgo
85,27,Other,Htc Vive,5.01,7,2,Alto Riesgo
86,45,Other,Htc Vive,14.34,6,1,Alto Riesgo
87,37,Male,Oculus Rift,55.22,2,2,Bajo Riesgo
88,33,Female,Playstation Vr,50.59,9,2,Alto Riesgo
89,42,Female,Playstation Vr,36.97,2,4,Bajo Riesgo
90,19,Other,Htc Vive,42.0,2,5,Bajo Riesgo
91,54,Other,Playstation Vr,13.02,4,4,Bajo Riesgo
92,43,Female,Htc Vive,31.43,1,4,Bajo Riesgo
93,48,Other,Htc Vive,28.11,10,3,Alto Riesgo
94,21,Other,Oculus Rift,21.28,1,2,Bajo Riesgo
95,55,Female,Playstation Vr,42.98,7,1,Alto Riesgo
96,58,Other,Playstation Vr,57.4,4,5,Bajo Riesgo
97,49,Female,Oculus Rift,39.51,8,1,Alto Riesgo
98,47,Female,Playstation Vr,15.53,8,1,Alto Riesgo
99,41,Other,Htc Vive,52.25,7,3,Alto Riesgo
100,37,Female,Playstation Vr,35.44,8,5,Alto Riesgo
101,21,Male,Htc Vive,43.63,8,1,Alto Riesgo
102,57,Other,Htc Vive,40.26,6,4,Alto Riesgo
103,22,Male,Htc Vive,27.97,5,3,Bajo Riesgo
104,58,Male,Oculus Rift,5.94,8,2,Alto Riesgo
105,27,Male,Htc Vive,44.63,1,3,Bajo Riesgo
106,38,Male,Oculus Rift,37.22,4,2,Bajo Riesgo
107,29,Male,Htc Vive,58.58,3,2,Bajo Riesgo
108,55,Male,Playstation Vr,43.45,10,4,Alto Riesgo
109,39,Female,Oculus Rift,39.98,1,1,Bajo Riesgo
110,21,Other,Htc Vive,51.05,9,3,Alto Riesgo
111,25,Male,Oculus Rift,25.33,3,2,Bajo Riesgo
112,60,Other,Htc Vive,12.7,1,4,Bajo Riesgo
113,39,Female,Playstation Vr,27.2,4,5,Bajo Riesgo
114,42,Male,Oculus Rift,31.65,8,4,Alto Riesgo
115,37,Female,Playstation Vr,12.78,6,1,Alto Riesgo
116,46,Female,Oculus Rift,31.17,1,4,Bajo Riesgo
117,34,Male,Oculus Rift,6.14,5,1,Bajo Riesgo
118,59,Female,Htc Vive,5.5,10,1,Alto Riesgo
119,40,Male,Htc Vive,42.45,5,1,Bajo Riesgo
120,38,Male,Playstation Vr,17.99,3,4,Bajo Riesgo
121,60,Female,Htc Vive,7.38,10,1,Alto Riesgo
122,33,Female,Htc Vive,55.24,8,3,Alto Riesgo
123,40,Female,Oculus Rift,51.74,3,3,Bajo Riesgo
124,40,Other,Htc Vive,19.53,1,2,Bajo Riesgo
125,18,Female,Playstation Vr,23.44,10,4,Alto Riesgo
126,41,Other,Oculus Rift,50.25,1,1,Bajo Riesgo
127,60,Other,Playstation Vr,58.77,1,5,Bajo Riesgo
128,35,Other,Htc Vive,15.31,10,1,Alto Riesgo
129,50,Other,Playstation Vr,18.48,8,4,Alto Riesgo
130,26,Female,Htc Vive,56.39,2,1,Bajo Riesgo
131,19,Male,Playstation Vr,5.19,5,5,Bajo Riesgo
132,42,Other,Playstation Vr,14.69,5,5,Bajo Riesgo
133,40,Other,Playstation Vr,11.21,7,4,Alto Riesgo
134,21,Female,Playstation Vr,17.67,9,5,Alto Riesgo
135,49,Other,Playstation Vr,53.55,7,4,Alto Riesgo
136,35,Other,Playstation Vr,22.59,8,2,Alto Riesgo
137,39,Female,Htc Vive,43.69,10,2,Alto Riesgo
138,57,Other,Playstation Vr,15.13,2,3,Bajo Riesgo
139,42,Female,Oculus Rift,7.08,5,5,Bajo Riesgo
140,58,Male,Oculus Rift,28.88,2,1,Bajo Riesgo
141,45,Other,Oculus Rift,43.39,8,2,Alto Riesgo
142,34,Other,Oculus Rift,49.27,1,5,Bajo Riesgo
143,36,Other,Playstation Vr,43.68,3,3,Bajo Riesgo
144,21,Male,Oculus Rift,32.33,9,1,Alto Riesgo
145,18,Other,Htc Vive,10.46,5,2,Bajo Riesgo
146,31,Male,Oculus Rift,54.33,3,1,Bajo Riesgo
147,37,Other,Oculus Rift,56.06,4,1,Bajo Riesgo
148,33,Other,Playstation Vr,13.32,7,1,Alto Riesgo
